City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
234,Banda Aceh,ID,79.81,overcast clouds,5.5577,95.3222,Sulthan Hotel International
235,Lorengau,PG,81.95,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
241,West Bay,KY,87.87,few clouds,19.3667,-81.4167,Calypso Cove
243,Astoria,US,76.87,clear sky,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
244,Meulaboh,ID,75.87,light rain,4.1363,96.1285,Kost Pria
247,Baruun-Urt,MN,75.94,few clouds,46.6806,113.2792,Ахмадын амралт сувилал
254,Kamaishi,JP,78.64,broken clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
255,Kieta,PG,83.21,light rain,-6.2167,155.6333,Uruna Bay Retreat
256,Playa Vicente,MX,85.73,broken clouds,17.8333,-95.8167,"Hotel ""Imperio"""
260,Bandarbeyla,SO,76.01,broken clouds,9.4942,50.8122,JABIR HOTEL
267,Myitkyina,MM,77.45,moderate rain,25.3833,97.4,Shwe Phyu Hotel
270,Kudahuvadhoo,MV,81.9,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
271,Jiazi,CN,78.76,overcast clouds,22.8779,116.067,Hotel Jin Hao
272,Lazaro Cardenas,MX,85.14,overcast clouds,17.9583,-102.2,quinta antigua
273,Ha Tinh,VN,80.62,light rain,18.3333,105.9,Phú Quý
274,Pachino,IT,76.6,clear sky,36.7186,15.0907,Pietra Bianca B&B
276,Guerrero,MX,78.12,broken clouds,17.6667,-100.0,Villaxochilt
278,Hasaki,JP,81.0,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
279,Kavaratti,IN,82.17,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
280,Emba,KZ,77.0,scattered clouds,48.8264,58.1442,
286,Salalah,OM,78.89,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
287,Cabedelo,BR,75.87,few clouds,-6.9811,-34.8339,Hotel Pigalle
288,Fairbanks,US,85.01,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
290,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
292,Savannah Bight,HN,86.05,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
293,Kuala Terengganu,MY,80.55,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
295,Wilmington,US,80.51,few clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
297,Guerrero Negro,MX,76.84,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
298,Palmer,US,84.43,haze,42.1584,-72.3287,Wedgewood Motel
300,Natal,BR,77.65,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
309,Kovvur,IN,77.27,light rain,17.0167,81.7333,Hotel Rathna Palace
313,Kanniyakumari,IN,78.67,broken clouds,8.0833,77.5667,Sparsa
