City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Honiara,SB,-9.4333,159.95,84.42,70,52,4.23,broken clouds
80,Batagay-Alyta,RU,67.8006,130.4114,57.22,69,100,2.77,overcast clouds
81,Yellowknife,CA,62.456,-114.3525,73.29,49,75,8.05,broken clouds
82,General Pico,AR,-35.6566,-63.7568,52.03,43,13,7.74,few clouds
83,Ola,RU,59.5833,151.2833,56.88,85,100,7.49,overcast clouds
84,Castro,BR,-24.7911,-50.0119,44.94,65,95,1.68,overcast clouds
85,Te Anau,NZ,-45.4167,167.7167,44.53,91,100,1.97,light rain
86,Klaksvik,FO,62.2266,-6.589,50.92,94,68,6.76,broken clouds
87,Bambous Virieux,MU,-20.3428,57.7575,71.22,64,75,17.27,broken clouds
88,Bontang,ID,0.1333,117.5,77.74,88,76,6.22,light rain
89,Sharqpur,PK,31.4633,74.1,77.13,83,58,9.57,broken clouds
90,Atar,MR,20.5169,-13.0499,95.59,10,10,8.12,clear sky
91,Kununurra,AU,-15.7667,128.7333,51.78,82,89,0,overcast clouds
92,Bloomsburg,US,41.0037,-76.4549,85.24,73,2,5.99,clear sky
93,Raudeberg,NO,61.9875,5.1352,52.2,74,10,12.68,clear sky
94,Aonla,IN,28.2833,79.15,78.28,94,99,5.44,overcast clouds
95,Zhigansk,RU,66.7697,123.3711,59.16,65,100,15.46,overcast clouds
96,Bredasdorp,ZA,-34.5322,20.0403,43.92,87,21,6.91,few clouds
97,Sisimiut,GL,66.9395,-53.6735,45.86,80,96,7.23,overcast clouds
98,Hofn,IS,64.2539,-15.2082,55.53,82,64,5.79,broken clouds
99,Kyren,RU,51.6828,102.1408,62.19,87,100,0.76,overcast clouds
100,Sahbuz,AZ,39.4072,45.5739,83.8,46,2,8.52,clear sky
101,Ilulissat,GL,69.2167,-51.1,53.62,47,66,10.36,broken clouds
102,Bengkulu,ID,-3.8004,102.2655,74.46,90,66,4.03,broken clouds
103,Abonnema,NG,4.7084,6.7931,75.22,84,83,4.85,broken clouds
104,Sitka,US,57.0531,-135.33,60.69,72,20,6.91,few clouds
105,Beian,NO,63.6559,9.5683,51.57,93,75,11.5,light rain
106,Matata,NZ,-37.8833,176.75,55.15,75,58,3.83,broken clouds
107,Rocha,UY,-34.4833,-54.3333,46.4,75,7,9.13,clear sky
108,Qarqin,AF,37.4185,66.0436,85.96,19,0,8.48,clear sky
109,Khasan,RU,42.4308,130.6434,76.84,88,73,3.78,broken clouds
110,Dakar,SN,14.6937,-17.4441,81.48,83,99,0,overcast clouds
111,Bubaque,GW,11.2833,-15.8333,81.91,80,100,12.26,overcast clouds
112,Daru,PG,-9.0763,143.2092,78.46,79,99,14.25,overcast clouds
113,Balkanabat,TM,39.5108,54.3671,87.01,29,0,5.26,clear sky
114,East London,ZA,-33.0153,27.9116,56.35,72,100,23,light rain
115,Camana,PE,-16.6228,-72.7111,62.6,81,14,3.62,few clouds
116,Huangzhai,CN,38.0751,112.6595,66.61,94,100,4.29,light rain
117,Marsh Harbour,BS,26.5412,-77.0636,83.98,75,59,13.33,broken clouds
118,Cidreira,BR,-30.1811,-50.2056,52.52,70,25,6.58,scattered clouds
119,Avarua,CK,-21.2078,-159.775,80.65,83,75,18.41,broken clouds
120,Namibe,AO,-15.1961,12.1522,64.02,87,11,1.43,few clouds
121,Byron Bay,AU,-28.65,153.6167,59.05,57,1,16.08,clear sky
122,Hilo,US,19.7297,-155.09,80.33,74,90,0,light rain
